Question,Expected Response
Why do you want a job in Venture Capital?,This is one you can almost guarantee will be in any interview. A key here is to express what excites you about the VC industry. Is it getting to work with a variety of startups? Or help bring new companies into the world? Write down a few things alongside the skills you’ve acquired thus far throughout your career and then explain why VC is the next logical step.
Which sector do you follow?,Pick two or three sub sectors and do in-depth research. You should be able to explain the trends in detail and know who the key players are. It is also helpful to give an outlook on how you think the market will develop in the coming years.
Which companies do you follow? Should we invest in them?,Prepare a list of two to three interesting companies that you would look at as a VC. Make sure to include the sector and your reasoning.
Which of our investments do you like most and why?,Read up on their portfolio companies and prepare to answer on two or three companies. You can also prepare special questions.
Which recent deal do you like most?,Read up on two or three interesting deals that have happened in the industry and make sure you understand what has happened and know some details about the company itself.
How are the IPO markets at the moment?,"Talk about whether the IPO markets are doing well or not, whether you think there is a bubble, etc. The state of IPO markets is critical to venture capital firms because it's one of the most common ways for them to realize their investments, so you need to be able to demonstrate whether the markets are doing well or not."
Where do you see yourself in five years?,"This is quite an open question and there are no real answers - it's perfectly fine to mention that you may want to be an entrepreneur someday, or that you want to stay in venture capital and become a partner, or focus on a specific niche."
Why not become an entrepreneur?,"Because you prefer to look at a large diversity of companies, you want to focus on investment and strategy or you don’t have a great idea yet. There are many ways to answer this question."
Why not go into private equity?,"Private equity and venture capital are two very different worlds. Good answers include: you prefer to invest in early stage companies, don't like the use of leverage by private equity, feel that there is more potential in venture capital because of..., etc."
How many cans of Coca Cola are drunk in London each day?,You may sometime come across brainteaser questions that test the way you think about problems. The way to answer them is to always breakdown the problem into various drivers. The interviewer wants to get to know your thinking process and not the perfect answer.
What makes you qualified for the role? What evidence can you provide to support that?,"When you are trying to sell yourself, you need to be very clear about why you are the best fit for the company, their mission, the job description, and expectations. First look at the qualifications the interviewer wants in a candidate from the job description. Think of some examples of how you embody these qualities."
Where have you succeeded and struggled? What did you learn from those experiences?,"An effective approach to the “failure” interview questions include a story about the failure. While creating a few talking points is helpful, it can be even more helpful to use those points to create a narrative."
Why did you choose your past roles?,Speak about the background and motivation for selecting your previous job.
How will you contribute to the firm?,"You should be able to articulate why moving into the more general realm of VC makes sense (Opportunity to help more founders, build new skills, learn a new industry and from a different perspective etc.)."
Why VC as opposed to an operational role with a startup or launch your own company?,There’s no right or wrong approach to approach these sorts of questions. Concentrate on the most important points and be as specific as possible.
What were you responsible for in your last job?,You should be able to explain your current job responsibilities and duties clearly and in detail to help them visualize the tasks you successfully complete.
How do you expect your day in the role to be like?,Speak about your expectations in terms of the work you will be doing in the role and the company culture.
What are some recent developments in the VC industry?,Do your research. You should know the competitors of the VC you are applying at and also be able to answer in which details they differ.
How do you assess an early-stage startup VS a later-stage startup?,"In a very generalized way, early stage investors care more about evidence, while later stage investors care more about proof."
How do you calculate the CAC (Customer Acquisition Cost)?,CAC is calculated by dividing the total cost of acquiring customers (cost of sales and marketing) over a given time period by the total number of customers acquired over that period.
What can you say about the ratio LTV/CAC?,The LTV/CAC measures the relationship between the lifetime value of a customer and the cost of acquiring that customer.
